"id","name","detailed_type","categ_id/name","sale_ok","purchase_ok","uom_id/name","uom_po_id/name","list_price","standard_price","invoice_policy","taxes_id/id","supplier_taxes_id/id","property_account_income_id/code","property_account_expense_id/code","description_sale","description_picking"
"__export__.product_tmpl_sol_consulting_kpmg","Technical Consulting Service (KPMG)","service","Services","True","False","Month(s)","Month(s)","69281.25","0.00","order","__import__.tax_sale_15","","400200","600000","Technical consulting services delivered to KPMG Professional Services – monthly retainer SAR 69,281.25 excl VAT",""
"__export__.product_tmpl_sol_consulting_gulf","Technical Consulting Service (SOL Gulf)","service","Services","True","False","Units","Units","1.00","0.00","order","__import__.tax_sale_15","","400300","600000","Technical consulting / outsource services delivered to SOL Gulf Communications",""
"__export__.product_tmpl_sol_consulting_generic","Professional Consulting Services","service","Services","True","False","Units","Units","1.00","0.00","order","__import__.tax_sale_15","","400000","600000","Professional consulting services – generic line item",""
