"id","name","type_tax_use","amount_type","amount","price_include","include_base_amount","tax_scope","description","invoice_label","tax_group_id/name","invoice_repartition_line_ids/factor_percent","invoice_repartition_line_ids/repartition_type","invoice_repartition_line_ids/account_id/code","refund_repartition_line_ids/factor_percent","refund_repartition_line_ids/repartition_type","refund_repartition_line_ids/account_id/code"
"__import__.tax_sale_15","Tax 15.00% – Output VAT (Sales)","sale","percent","15","False","False","","VAT 15% KSA – Standard Tax Invoice","VAT15","Tax 15%","100","base","","100","base",""
"","","","","","","","","","","","100","tax","201017","100","tax","120100"
"__import__.tax_sale_0","Tax 0.00% – Zero-Rated (Sales)","sale","percent","0","False","False","","VAT 0% KSA – Zero Rated","VAT0","Tax 0%","100","base","","100","base",""
"","","","","","","","","","","","100","tax","","100","tax",""
"__import__.tax_purchase_15","Tax 15.00% – Input VAT (Purchase)","purchase","percent","15","False","False","","VAT 15% KSA – Deductible Input VAT","VAT15","Tax 15%","100","base","","100","base",""
"","","","","","","","","","","","100","tax","120100","100","tax","201017"
"__import__.tax_purchase_0","Tax 0.00% – Zero-Rated (Purchase)","purchase","percent","0","False","False","","VAT 0% KSA – Zero Rated Purchase","VAT0","Tax 0%","100","base","","100","base",""
"","","","","","","","","","","","100","tax","","100","tax",""
